GPS LATITUDE (degrees),GPS LONGITUDE (degrees),GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE,TIME SINCE START (ms),DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION (Azimuth) (Â°),ORIENTATION (Pitch) (Â°),ORIENTATION (Roll ) (Â°),latitude,longitude,timestamp,speed_mps,gyro_z,accel_forward,accel_lateral,x_m,y_m,heading_deg,dt_s,dr_speed_mps,dr_heading_deg,dr_x_m,dr_y_m,position_error_m
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 28,20,2019-11-06 10:41:47:363,0.0944,0.1348,9.8336,-0.0002,0.0012,9.8066,0.0003,-0.0055,0.0182,-14.06,-30.56,39.19,343.29,-88.46,-176.63,52.56183,-1.455243,0.02,0.0,0.0182,0.0944,0.1348,0.0,0.0,11.762454931471373,0.0,0.17483570765056164,12.520346810761364,0.0,0.0,0.0
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 28,120,2019-11-06 10:41:47:463,0.0343,-0.083,9.9933,-0.0019,-0.0001,9.8066,0.0239,-0.022,0.0427,-14.25,-30.12,39.0,342.69,-88.47,-177.23,52.56183,-1.455243,0.12,0.0,0.0427,0.0343,-0.083,0.0,0.0,11.762454931471373,0.09999999999999999,0.14308678494144075,13.047728832211403,0.013939261852249243,0.0032303651903786575,0.014308678494144075
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 28,220,2019-11-06 10:41:47:563,-0.1262,0.0623,9.732,-0.0066,0.0039,9.8066,-0.0271,0.0145,-0.0228,-13.81,-30.69,39.13,342.69,-88.47,-177.23,52.56183,-1.455243,0.22,0.0,-0.0228,-0.1262,0.0623,0.0,0.0,11.762454931471373,0.1,0.18238442690503462,13.827976755972909,0.03164911236968174,0.007589491986535789,0.03254637771553745
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 28,320,2019-11-06 10:41:47:663,0.0465,-0.0244,9.9253,-0.002,0.0013,9.8066,0.0,0.0397,0.0226,-13.75,-30.5,38.75,343.87,-88.5,-176.07,52.56183,-1.455243,0.32,0.0,0.0226,0.0465,-0.0244,0.0,0.0,11.762454931471373,0.1,0.22615149282040126,13.867687561221297,0.0536050708894187,0.013009903643278272,0.055161229299817004
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 28,420,2019-11-06 10:41:47:763,0.0531,0.1501,9.8509,0.0003,0.0012,9.8066,0.0048,0.0022,-0.0356,-13.5,-30.31,38.88,346.54,-88.5,-174.77,52.56183,-1.455243,0.42,0.0,-0.0356,0.0531,0.1501,0.0,0.0,11.762454931471373,0.09999999999999998,0.1382923312638332,13.720244313027019,0.06703969206702647,0.016289940636671905,0.06899045208134258
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 28,520,2019-11-06 10:41:47:863,-0.3031,-0.04,9.863,0.0004,-0.0016,9.8066,-0.0162,0.0056,0.008,-14.06,-30.19,39.0,344.51,-88.51,-175.45,52.56183,-1.455243,0.52,0.0,0.008,-0.3031,-0.04,0.0,0.0,11.762454931471373,0.10000000000000003,0.13829315215254095,12.942224146408101,0.08051769296294045,0.019387270320867664,0.0828188694113168
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 28,620,2019-11-06 10:41:47:963,-0.1031,-0.131,9.8922,-0.0004,0.0013,9.8066,0.0087,-0.0059,0.0029,-13.94,-30.5,38.75,344.51,-88.51,-175.45,52.56183,-1.455243,0.62,0.0,0.0029,-0.1031,-0.131,0.0,0.0,11.762454931471373,0.09999999999999998,0.22896064077536957,12.776909629586992,0.10284681751951562,0.024450860626138236,0.10571335043054582
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 28,720,2019-11-06 10:41:48:063,0.0352,0.116,9.7963,0.0001,0.0004,9.8066,-0.0037,-0.0217,0.0001,-14.37,-29.87,39.0,345.54,-88.53,-174.44,52.56183,-1.455243,0.72,0.0,0.0001,0.0352,0.116,0.0,0.0,11.762454931471373,0.09999999999999998,0.18837173645764543,15.290080986356282,0.12101721334144779,0.029418337514357875,0.12454157742311667
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 28,820,2019-11-06 10:41:48:163,0.0935,-0.115,9.9135,-0.0004,0.001,9.8066,-0.0082,-0.0063,0.0021,-14.12,-29.87,39.13,345.43,-88.52,-174.55,52.56183,-1.455243,0.82,0.0,0.0021,0.0935,-0.115,0.0,0.0,11.762454931471373,0.09999999999999998,0.1265262807032524,13.231003780671506,0.13333397987405346,0.032314241391779755,0.1371938788203785
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 28,920,2019-11-06 10:41:48:263,-0.1435,0.0572,9.7802,0.0001,0.0027,9.8066,0.0002,0.0144,-0.0016,-13.69,-30.0,38.88,345.43,-88.52,-174.55,52.56183,-1.455243,0.92,0.0,-0.0016,-0.1435,0.0572,0.0,0.0,11.762454931471373,0.10000000000000009,0.17712800217929822,13.133037823760304,0.15058350382088004,0.036338817787892996,0.15490610478994907
52.56183,-1.455243,158.52,0.0,6,129.42,25 / 25,1020,2019-11-06 10:41:48:363,-0.0446,-0.0627,9.9075,-0.0005,-0.0024,9.8066,-0.0077,-0.004,0.0017,-14.12,-30.5,38.75,344.75,-88.53,-174.72,52.56183,-1.455243,1.02,0.0,0.0017,-0.0446,-0.0627,0.0,0.0,11.762454931471373,0.09999999999999998,0.12682911535937688,12.69160973872037,0.16295653032006147,0.03912529590174484,0.16758764737698362
52.56183,-1.455243,158.52,0.0,6,129.42,25 / 25,1120,2019-11-06 10:41:48:463,-0.0267,0.0162,9.836,-0.0052,-0.0002,9.8066,-0.0129,-0.0009,0.0171,-14.06,-30.75,38.69,345.4,-88.52,-174.57,52.56183,-1.455243,1.12,0.0,0.0171,-0.0267,0.0162,0.0,0.0,11.762454931471373,0.10000000000000009,0.12671351232148714,13.458191210728138,0.17527992633390826,0.04207437249186282,0.18025899532673628
52.56183,-1.455243,158.52,0.0,6,129.42,25 / 25,1220,2019-11-06 10:41:48:563,-0.2089,-0.03,9.868,-0.0048,-0.0003,9.8066,0.005,0.0037,-0.0005,-13.5,-30.5,38.75,347.84,-88.53,-173.5,52.56183,-1.455243,1.22,0.0,-0.0005,-0.2089,-0.03,0.0,0.0,11.762454931471373,0.09999999999999987,0.1620981135783017,13.42087317193383,0.19104707022016462,0.04583670659804318,0.1964687932254474
52.56183,-1.455243,158.52,0.0,6,129.42,25 / 25,1320,2019-11-06 10:41:48:663,0.1592,-0.1985,10.0168,-0.0001,0.0019,9.8066,-0.0244,-0.0096,0.0202,-14.5,-30.25,39.25,347.84,-88.53,-173.5,52.56183,-1.455243,1.32,0.0,0.0202,0.1592,-0.1985,0.0,0.0,11.762454931471373,0.10000000000000009,0.0543359877671101,13.249473964507937,0.19633603400191318,0.047082041003585484,0.2019023447923865
52.56183,-1.455243,158.52,0.0,6,129.42,25 / 25,1420,2019-11-06 10:41:48:763,0.1705,0.1579,9.8721,-0.0008,-0.0003,9.8066,0.0086,0.0128,-0.0059,-13.69,-30.5,39.38,346.43,-88.54,-173.57,52.56183,-1.455243,1.42,0.0,-0.0059,0.1705,0.1579,0.0,0.0,11.762454931471373,0.09999999999999987,0.06375410837434835,13.567836248901681,0.20253352527743781,0.04857768977113675,0.20827774918316969
